Organization Name,Organization Name URL,Industry Groups,Number of Employees,Industries,Headquarters Location,Description,CB Rank (Organization),Stage,CB Rank (Company),Website,Contact Email,LinkedIn,Phone Number,Last Funding Date,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD)
View Point Medical,https://www.crunchbase.com/organization/view-point-medical,Health Care,1-10,"Health Care, Health Diagnostics, Medical, Oncology","Carlsbad, California, United States",View Point Medical is a medical device and technology company developing tissue markers that enable lesion localization in cancer care.,"5,473",,"4,571",https://viewpointmed.com,,,858-847-9446,2024-01-23,Debt Financing,3758000,USD,3758000
Physiologas Technologies,https://www.crunchbase.com/organization/physiologas-technologies,"Health Care, Manufacturing",1-10,"Health Care, Manufacturing, Medical Device, Pharmaceutical","Sagamihara, Kanagawa, Japan",Physiologas Technologies is a manufacturing company that designs and develops medical equipment for the healthcare industry.,"5,496",,"4,590",https://physiologas.co.jp,info@physiologas.co.jp,https://www.linkedin.com/company/physiologas/,+81 04-2711-9320,2026-03-31,Series A,,,
Prolium,https://www.crunchbase.com/organization/prolium,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Clinical Trials, Medical","New York, New York, United States","Prolium is a biotechnology company, which specializes in providing breakthrough therapies to the patients with autoimmune diseases.","5,511",,"4,604",https://www.proliumbio.com./index.html,info@proliumbio.com,https://www.linkedin.com/company/prolium-bio/,,2026-03-03,Series A,50000000,USD,50000000
Abram Scientific,https://www.crunchbase.com/organization/abram-scientific,"Biotechnology, Health Care, Science and Engineering",1-10,"Health Diagnostics, Life Science, Medical Device","Menlo Park, California, United States",Abram Scientific is a novel diagnostic platform for diagnosis and characterization of coagulation-related disorders rapid hemostasis.,"5,596",,"4,680",https://www.abramscientific.com/,,https://www.linkedin.com/company/abram-scientific/,,2026-02-25,Series A,11750000,USD,11750000
JuneBrain,https://www.crunchbase.com/organization/junebrain,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device","Washington, District of Columbia, United States",JuneBrain is an early start-up company that helps multiple sclerosis patients through the power of telemedicine.,"5,619",,"4,702",https://www.junebrain.com/,info@junebrain.com,https://www.linkedin.com/company/junebrain/,240-668-4049,2026-04-03,Venture - Series Unknown,,,
May Health,https://www.crunchbase.com/organization/ablacare,Health Care,1-10,"Health Care, Medical Device","Paris, Ile-de-France, France",May Health develops an innovative solution for Polycystic Ovary Syndrome (PCOS) related infertility.,"5,623",,"4,705",https://mayhealth.com/,contact@ablacare.com,https://www.linkedin.com/company/may-health/,,2026-03-10,Venture - Series Unknown,10000000,EUR,11636079
Topicals,https://www.crunchbase.com/organization/topicals,"Consumer Goods, Health Care",1-10,"Beauty, Cosmetics, Health Care","Santa Monica, California, United States","Topicals is a beauty and skincare company that specializes in the fields of e-commerce, community, and beauty devices.","5,634",,"4,716",https://mytopicals.com/,info@mytopicals.com,https://www.linkedin.com/company/mytopicals/,(323) 776-1963,2026-01-08,Undisclosed,,,
Translucent AI,https://www.crunchbase.com/organization/translucent-ai,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Financial Services, Health Care","New York, New York, United States",Translucent AI develops an AI-powered financial platform tailored for healthcare operators.,"5,687",,"4,763",https://www.translucent.co/,,https://www.linkedin.com/company/translucentai,,2026-03-11,Series A,27000000,USD,27000000
Linnaeus Therapeutics,https://www.crunchbase.com/organization/linnaeus-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical, Therapeutics","Haddonfield, New Jersey, United States",Linnaeus Therapeutics is a development stage biotech company that develops and commercializes drugs for cancer.,"5,750",,"4,814",https://www.linnaeustx.com,info@linnaeustx.com,https://www.linkedin.com/company/linnaeustx,856-433-1300,2026-02-27,Venture - Series Unknown,4992000,USD,4992000
Subsense,https://www.crunchbase.com/organization/subsense,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Medical Device, Neuroscience","Covina, California, United States",Subsense develops non-surgical brain-computer interface (BCI) technologies that link neural activity with external systems.,"5,760",,"4,823",https://www.subsense-bci.com,ta@subsense-bci.com,https://www.linkedin.com/company/subsense-inc,,2025-12-11,Seed,10000000,USD,10000000
UNITY,https://www.crunchbase.com/organization/unity-9bd4,"Commerce and Shopping, Community and Lifestyle, Food and Beverage, Health Care",1-10,"Cannabis, E-Commerce, Health Care, Nutrition, Personal Health, Wellness","Miami, Florida, United States",UNITY is a functional food and beverage company specializing in CBD beverages.,"5,824",,"4,886",https://www.unitybevs.com/,info@unitywellness.co,https://www.linkedin.com/company/unity-wellness-co,,2022-05-06,Series A,1107139,USD,1107139
Zócalo Health,https://www.crunchbase.com/organization/zócalo-health,Health Care,1-10,"Health Care, Hospital, Wellness","Seattle, Washington, United States","Zócalo Health is a primary care platform offering culturally aligned virtual healthcare, community outreach, and care coordination.","5,845",,"4,905",https://zocalo.health,hello@zocalo.health,https://www.linkedin.com/company/z%C3%B3calo-health,425-954-6637,2025-12-11,Grant,,,
MindImmune Therapeutics,https://www.crunchbase.com/organization/mindimmune-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Neuroscience, Pharmaceutical","Providence, Rhode Island, United States",MindImmune Therapeutics is a pharmaceutical company developing drugs to treat diseases of the central nervous system.,"5,864",,"4,922",http://mindimmune.com/,contact@mindimmune.com,https://www.linkedin.com/company/mindimmune-therapeutics-inc.,401-225-4612,2026-03-10,Grant,5000000,USD,5000000
Longevity Health,https://www.crunchbase.com/organization/carmell-therapeutics,"Biotechnology, Commerce and Shopping, Consumer Goods, Health Care, Manufacturing, Science and Engineering",1-10,"Biotechnology, Cosmetics, E-Commerce, Health Care, Life Science, Manufacturing, Medical Device, Personal Care and Hygiene, Therapeutics","Pittsburgh, Pennsylvania, United States",Longevity develops technology for producing biologically-active plastics from blood plasma for treating bone and connective tissue injuries.,"5,931",,"4,982",https://www.carmellcosmetics.com,awest@carmellrx.com,https://www.linkedin.com/company/carmell-therapeutics,4122088033,2026-03-13,Post-IPO Equity,200000,USD,200000
OOVA,https://www.crunchbase.com/organization/oova,"Consumer Goods, Health Care, Other",1-10,"Consumer, Consumer Goods, Health Care","New York, New York, United States",OOVA is a fertility diagnostic company that brings the accuracy of a clinic into your own home.,"5,937",,"4,987",http://www.oova.life,hello@oova.life,http://www.linkedin.com/company/oova-inc/,,2023-06-12,Series A,10300000,USD,10300000
Genflow Biosciences,https://www.crunchbase.com/organization/genflow-biosciences,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Life Science","London, England, United Kingdom",GenFlow Biosciences is a biotech company that develops gene therapies for slow or reverse aging in humans and animals.,"6,028",,"5,070",https://genflowbio.com/,info@genflowbio.com,https://www.linkedin.com/company/genflow-biosciences/about/,+32 477495881,2026-03-05,Post-IPO Equity,800000,GBP,1068476
Rowan,https://www.crunchbase.com/organization/rowan-64e2,"Biotechnology, Energy, Health Care, Science and Engineering",1-10,"Biotechnology, Chemical, Energy, Pharmaceutical","Boston, Massachusetts, United States",Rowan is a molecular design and simulation tool used by scientists for modeling and analyzing molecular structures and behavior.,"6,035",,"5,077",https://rowansci.co,contact@rowansci.co,https://www.linkedin.com/company/rowansci/,,2024-12-09,Pre-Seed,2100000,USD,2100000
Beastlife,https://www.crunchbase.com/organization/beastlife,"Food and Beverage, Health Care, Sports",1-10,"Fitness, Nutrition","Gurgaon, Haryana, India",Beastlife specializes in providing nutrition and bodybuilding supplements.,"6,125",,"5,157",https://beastlife.in/,care@beastlife.in,https://www.linkedin.com/company/beastlife/?originalSubdomain=in,8071800717,2026-03-26,Seed,200000000,INR,2128153
HeartBeam,https://www.crunchbase.com/organization/heartbeam,Health Care,1-10,"Health Care, Hospital, Medical","Santa Clara, California, United States",HeartBeam is a cardiac technology company that has created the first and only 3D-vector electrocardiogram (VECG) platform.,"6,254",,"5,273",https://www.heartbeam.com,info@heartbeam.com,https://www.linkedin.com/company/heartbeam-inc,,2025-02-13,Post-IPO Equity,11500000,USD,11500000
Olatec Therapeutics,https://www.crunchbase.com/organization/olatec-therapeutics-llc,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Health Care, Pharmaceutical","New York, New York, United States",Olatec is a biopharmaceutical company developing a platform to treat and prevent acute and chronic inflammatory diseases.,"6,312",,"5,321",http://www.olatec.com,inquiries@olatec.com,https://www.linkedin.com/company/olatec/,833-652-8321,2023-03-10,Grant,,,
Sub-Q Bionics,https://www.crunchbase.com/organization/sub-q-bionics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Medical, Oncology","Minneapolis, Minnesota, United States","Sub-Q Bionics is a medtech company, that aids the management of chronic pain and debilitating symptoms of lymphedema specially for women.","6,341",,"5,349",https://subqbionics.com/,info@subqbionics.com,https://www.linkedin.com/company/sub-q-bionics/,,2026-03-31,Pre-Seed,1500000,USD,1500000
Asimily,https://www.crunchbase.com/organization/asimily,"Data and Analytics, Design, Health Care, Information Technology, Privacy and Security, Software",1-10,"Cyber Security, Data Visualization, Health Care, Hospital, Software","Sunnyvale, California, United States",Asimily's IoMT risk remediation platform holistically secures the mission-critical healthcare devices that deliver safe and reliable care.,"6,357",,"5,361",https://www.asimily.com,info@asimily.com,https://www.linkedin.com/company/asimily/,+1 408-627-4097,2022-06-23,Venture - Series Unknown,5000000,USD,5000000
Adino,https://www.crunchbase.com/organization/adino,"Health Care, Information Technology, Other, Software",1-10,"B2B, Health Care, Information and Communications Technology (ICT), Software","Atlanta, Georgia, United States","SaaS, Communications Network, Technology Network, Healthcare Network","6,416",,"5,412",https://www.adino.com,Ann@adino.com,https://www.linkedin.com/company/adino/,,2024-10-01,Pre-Seed,150000,USD,150000
SuppCo,https://www.crunchbase.com/organization/suppco,"Health Care, Sports",1-10,"Fitness, Health Care, Personal Health","Long Island City, New York, United States","SuppCo helps people find health supplements, manage supplement routines, and track their health.","6,419",,"5,415",https://supp.co/,support@supp.co,https://www.linkedin.com/company/supp-co/,,2024-10-17,Seed,5500000,USD,5500000
Citius Oncology,https://www.crunchbase.com/organization/citius-oncology,Health Care,1-10,"Medical, Oncology, Pharmaceutical","Cranford, New Jersey, United States",Citius Oncology is a pharmaceutical company that provides the development and commercialization of innovative oncology therapies.,"6,579",,"5,558",https://citiusonc.com/overview/default.aspx,info@citiusonc.com,,+1 908-967-6677,2025-12-09,Post-IPO Equity,18000000,USD,18000000
Rainfall Health,https://www.crunchbase.com/organization/rainfall-health,Health Care,1-10,"Health Care, Hospital","Berkeley, California, United States",Rainfall Health was established to help bridge the gap in providing access to quality healthcare in medical deserts.,"6,670",,"5,638",https://www.rainfallhealth.com,,https://www.linkedin.com/company/rainfall-health,,2026-02-18,Series A,15000000,USD,15000000
Onco-Innovations,https://www.crunchbase.com/organization/onco-innovations,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Life Science, Oncology","Calgary, Alberta, Canada",Onco-Innovations is a biotech business that develops and commercializes medicines for various cancers.,"6,671",,"5,639",https://oncoinnovations.com/,investors@oncoinnovations.com,https://www.linkedin.com/company/onco-innovations,+1 888-261-8055,2026-01-23,Post-IPO Equity,1215500,CAD,885642
Mae Health,https://www.crunchbase.com/organization/mae-214d,"Community and Lifestyle, Health Care",1-10,"Health Care, Wellness, Women's","New York, New York, United States","Mae provides pregnancy, postpartum, and tailored services.","6,705",,"5,671",https://meetmae.com/,hello@meetmae.com,https://www.linkedin.com/company/meetmae/,,2025-10-09,Venture - Series Unknown,2899991,USD,2899991
